time,open,Price,high,low,Volume
2024-11-26 09:30:00,6.95,6.95,6.95,6.95,124616.0
2024-11-26 09:31:00,6.94,7.03,7.03,6.94,246165.0
2024-11-26 09:32:00,7.03,7.03,7.03,7.03,26981.0
2024-11-26 09:33:00,7.03,7.03,7.03,7.03,9014.0
2024-11-26 09:34:00,7.03,7.03,7.03,7.03,2256.0
2024-11-26 09:35:00,7.03,7.03,7.03,7.03,1537.0
2024-11-26 09:36:00,7.03,7.03,7.03,7.03,2500.0
2024-11-26 09:37:00,7.03,7.03,7.03,7.03,2727.0
2024-11-26 09:38:00,7.03,7.03,7.03,7.03,932.0
2024-11-26 09:39:00,7.03,6.9,7.03,6.9,70833.0
2024-11-26 09:40:00,6.83,6.66,6.83,6.59,49414.0
2024-11-26 09:41:00,6.67,6.76,6.85,6.67,53272.0
2024-11-26 09:42:00,6.78,6.68,6.84,6.68,38207.0
2024-11-26 09:43:00,6.65,6.7,6.7,6.54,35470.0
2024-11-26 09:44:00,6.7,6.69,6.8,6.69,22052.0
2024-11-26 09:45:00,6.7,6.57,6.7,6.56,17685.0
2024-11-26 09:46:00,6.57,6.61,6.64,6.57,18210.0
2024-11-26 09:47:00,6.61,6.59,6.61,6.59,10296.0
2024-11-26 09:48:00,6.58,6.39,6.58,6.39,22602.0
2024-11-26 09:49:00,6.39,6.6,6.6,6.39,14129.0
2024-11-26 09:50:00,6.58,6.55,6.58,6.51,10227.0
2024-11-26 09:51:00,6.57,6.58,6.6,6.55,9834.0
2024-11-26 09:52:00,6.59,6.53,6.59,6.53,5411.0
2024-11-26 09:53:00,6.52,6.49,6.53,6.49,5736.0
2024-11-26 09:54:00,6.49,6.51,6.51,6.45,6543.0
2024-11-26 09:55:00,6.52,6.6,6.6,6.51,5437.0
2024-11-26 09:56:00,6.6,6.73,6.73,6.6,9609.0
2024-11-26 09:57:00,6.74,6.78,6.85,6.74,22936.0
2024-11-26 09:58:00,6.77,6.61,6.78,6.6,11674.0
2024-11-26 09:59:00,6.61,6.66,6.75,6.61,6515.0
2024-11-26 10:00:00,6.7,6.76,6.76,6.69,9267.0
2024-11-26 10:01:00,6.76,6.7,6.77,6.7,8738.0
2024-11-26 10:02:00,6.69,6.66,6.69,6.65,3684.0
2024-11-26 10:03:00,6.65,6.64,6.65,6.63,4102.0
2024-11-26 10:04:00,6.64,6.62,6.66,6.6,5200.0
2024-11-26 10:05:00,6.62,6.61,6.64,6.61,2667.0
2024-11-26 10:06:00,6.6,6.6,6.62,6.6,2541.0
2024-11-26 10:07:00,6.61,6.58,6.62,6.58,2816.0
2024-11-26 10:08:00,6.59,6.61,6.61,6.58,3379.0
2024-11-26 10:09:00,6.61,6.59,6.61,6.58,2217.0
2024-11-26 10:10:00,6.59,6.59,6.6,6.58,2175.0
2024-11-26 10:11:00,6.58,6.55,6.58,6.53,2615.0
2024-11-26 10:12:00,6.53,6.51,6.54,6.51,2536.0
2024-11-26 10:13:00,6.51,6.52,6.54,6.51,4097.0
2024-11-26 10:14:00,6.51,6.49,6.51,6.48,5416.0
2024-11-26 10:15:00,6.46,6.46,6.47,6.46,4242.0
2024-11-26 10:16:00,6.46,6.46,6.46,6.45,3673.0
2024-11-26 10:17:00,6.46,6.51,6.51,6.46,4824.0
2024-11-26 10:18:00,6.51,6.56,6.56,6.51,3151.0
2024-11-26 10:19:00,6.56,6.6,6.6,6.56,3705.0
2024-11-26 10:20:00,6.59,6.55,6.6,6.55,2663.0
2024-11-26 10:21:00,6.55,6.61,6.61,6.51,5164.0
2024-11-26 10:22:00,6.63,6.74,6.77,6.63,13819.0
2024-11-26 10:23:00,6.69,6.69,6.71,6.64,3473.0
2024-11-26 10:24:00,6.7,6.61,6.7,6.61,2082.0
2024-11-26 10:25:00,6.62,6.67,6.67,6.62,3060.0
2024-11-26 10:26:00,6.67,6.63,6.67,6.63,1257.0
2024-11-26 10:27:00,6.63,6.58,6.63,6.58,1349.0
2024-11-26 10:28:00,6.58,6.6,6.6,6.58,1983.0
2024-11-26 10:29:00,6.59,6.64,6.64,6.59,1408.0
