time,open,Price,high,low,Volume,Sell_Point
2024/11/26 9:30,8.35,8.35,8.35,8.35,8267,0
2024/11/26 9:31,8.35,8.28,8.36,8.28,23979,0
2024/11/26 9:32,8.28,8.34,8.36,8.28,20373,0
2024/11/26 9:33,8.33,8.36,8.36,8.3,20554,0
2024/11/26 9:34,8.35,8.37,8.37,8.33,11377,0
2024/11/26 9:35,8.38,8.4,8.41,8.38,10707,0
2024/11/26 9:36,8.4,8.37,8.4,8.36,9733,0
2024/11/26 9:37,8.39,8.38,8.4,8.36,8532,0
2024/11/26 9:38,8.37,8.33,8.37,8.33,10204,0
2024/11/26 9:39,8.33,8.37,8.38,8.33,9865,0
2024/11/26 9:40,8.35,8.33,8.35,8.32,13337,0
2024/11/26 9:41,8.33,8.36,8.36,8.33,7208,0
2024/11/26 9:42,8.36,8.38,8.38,8.35,5820,0
2024/11/26 9:43,8.38,8.41,8.42,8.38,8067,0
2024/11/26 9:44,8.41,8.4,8.41,8.39,8142,0
2024/11/26 9:45,8.4,8.39,8.4,8.39,7569,1
2024/11/26 9:46,8.4,8.43,8.43,8.4,4210,1
2024/11/26 9:47,8.43,8.44,8.44,8.42,8943,1
2024/11/26 9:48,8.45,8.44,8.46,8.44,15388,1
2024/11/26 9:49,8.45,8.44,8.45,8.44,7136,1
2024/11/26 9:50,8.44,8.42,8.44,8.41,12410,1
2024/11/26 9:51,8.42,8.39,8.42,8.39,9687,1
2024/11/26 9:52,8.39,8.4,8.4,8.38,5106,1
2024/11/26 9:53,8.39,8.41,8.41,8.39,5575,0
2024/11/26 9:54,8.4,8.37,8.4,8.37,8117,0
2024/11/26 9:55,8.37,8.35,8.37,8.35,5582,0
2024/11/26 9:56,8.35,8.37,8.37,8.35,6698,0
2024/11/26 9:57,8.36,8.33,8.36,8.32,12346,0
2024/11/26 9:58,8.33,8.33,8.34,8.33,7159,0
2024/11/26 9:59,8.33,8.31,8.33,8.31,11063,0
2024/11/26 10:00,8.31,8.34,8.35,8.3,9281,0
2024/11/26 10:01,8.33,8.32,8.34,8.32,5382,0
2024/11/26 10:02,8.32,8.32,8.32,8.31,5028,0
2024/11/26 10:03,8.31,8.33,8.34,8.31,5094,0
2024/11/26 10:04,8.34,8.36,8.37,8.34,5858,0
2024/11/26 10:05,8.35,8.36,8.37,8.35,5138,0
2024/11/26 10:06,8.36,8.37,8.38,8.35,7605,0
2024/11/26 10:07,8.37,8.37,8.38,8.36,3285,0
2024/11/26 10:08,8.37,8.33,8.37,8.33,8550,0
